Gene1,Gene2,Score
ESR1,AHCY,1492.0
ESR1,CDV3,1064.0
ESR1,CEP350,845.0
ESR1,RPS3A1,882.0
ESR1,S100A4,985.0
ESR1,SEPT11,808.0
ESR1,S1PR2,775.0
ESR1,COQ8A,1316.0
ESR1,TSSK6,768.0
ESR1,NDUFA13,768.0
ESR1,SPOUT1,864.0
ESR1,CERS2,901.0
ESR1,VCPIP1,546.0
ESR1,PEX5,1240.0
ESR1,SGMS1,1151.0
ESR1,PTPRF,855.0
ESR1,ITM2B,1023.0
ESR1,THBS1,969.0
ESR1,ZFPM1,1026.0
ESR1,PKNOX1,770.0
ESR1,HSPA4,735.0
ESR1,GM5148,1125.0
ESR1,CCNT1,1180.0
ESR1,SERPINB9,1116.0
ESR1,1810013L24RIK,1213.0
ESR1,NELFB,1134.0
ESR1,MAPKAPK5,1215.0
ESR1,SS18,723.0
ESR1,ASB4,1423.0
ESR1,TIMM9,1205.0
ESR1,RIC8B,912.0
ESR1,INTS9,642.0
ESR1,HMBOX1,642.0
ESR1,2700049A03RIK,1205.0
ESR1,TMEM126B,1095.0
ESR1,OGDH,879.0
ESR1,NR1D1,1384.0
ESR1,DDX55,1130.0
ESR1,SLC16A1,1341.0
ESR1,CCNL1,782.0
ESR1,TLR12,1886.0
ESR1,TIGD5,989.0
ESR1,SURF4,646.0
ESR1,STKLD1,646.0
ESR1,GID4,722.0
ESR1,ATPAF2,722.0
ESR1,SENP1,867.0
ESR1,ATRNL1,858.0
ESR1,VMP1,1113.0
ESR1,RHOBTB1,840.0
ESR1,MRPL40,1050.0
ESR1,HIRA,1050.0
ESR1,GK5,1853.0
ESR1,HIF1AN,1081.0
ESR1,CALR,549.0
ESR1,TADA3,590.0
ESR1,ARPC4,590.0
ESR1,IDH1,865.0
ESR1,TAF5L,610.0
ESR1,OXR1,670.0
ESR1,RPS20,932.0
ESR1,AP2M1,667.0
ESR1,AOX1,976.0
ESR1,STK25,580.0
ESR1,PDCD4,638.0
ESR1,1110038F14RIK,985.0
ESR1,GAPDH,868.0
ESR1,TMEM245,1272.0
ESR1,MYO1C,640.0
ESR1,PNPLA8,631.0
ESR1,GAS1,943.0
ESR1,P2RY1,1867.0
ESR1,RNF224,695.0
ESR1,1190007I07RIK,775.0
ESR1,ZSCAN22,1285.0
ESR1,RHOQ,920.0
ESR1,SLC25A24,661.0
ESR1,WNT9B,1557.0
ESR1,RWDD1,978.0
ESR1,TFB2M,847.0
ESR1,CNST,847.0
ESR1,CCP110,678.0
ESR1,FAM71E1,1073.0
ESR1,EMC10,1073.0
ESR1,RBM19,1006.0
ESR1,FSCN2,553.0
ESR1,ITGB3BP,1148.0
ESR1,EFCAB7,1148.0
ESR1,PHB2,815.0
ESR1,EMG1,815.0
ESR1,RLF,1531.0
ESR1,SEC61A2,1005.0
ESR1,ZKSCAN1,640.0
ESR1,PLEC,512.0
ESR1,CXCL5,1206.0
ESR1,SHCBP1L,2172.0
ESR1,GTPBP10,1890.0
ESR1,DDX59,670.0
ESR1,ESYT1,643.0
ESR1,EIF4H,549.0
ESR1,SH3BP4,1263.0
ESR1,STAT3,773.0
ESR1,TCF7L1,1554.0
ESR1,HEXIM2,689.0
ESR1,EMILIN1,678.0
ESR1,TMEM260,916.0
ESR1,NCLN,813.0
ESR1,RAB36,1390.0
ESR1,PCBP2,903.0
ESR1,TRIM41,827.0
ESR1,PCYOX1L,1736.0
ESR1,MND1,761.0
ESR1,NMNAT3,1804.0
ESR1,SMARCC2,1611.0
ESR1,N4BP2L2,836.0
ESR1,CYCS,933.0
ESR1,PAPLN,1162.0
ESR1,GDF1,1856.0
ESR1,CERS1,1856.0
ESR1,ROPN1L,699.0
ESR1,ATP8B1,1310.0
ESR1,FAM206A,1682.0
ESR1,ELP1,1682.0
ESR1,SMG7,927.0
ESR1,POLR3F,783.0
ESR1,NDUFAF5,611.0
ESR1,ESF1,611.0
ESR1,DZANK1,783.0
ESR1,ZC3H11A,619.0
ESR1,ZBED6,619.0
ESR1,LAS1L,871.0
ESR1,TOB2,570.0
ESR1,GABPB2,1103.0
ESR1,SLC35A1,1006.0
ESR1,UHRF2,1439.0
ESR1,NOTCH2,824.0
ESR1,B3GALT4,1623.0
ESR1,TMTC3,606.0
ESR1,CEP290,606.0
ESR1,TNFAIP6,865.0
ESR1,GBP6,1013.0
ESR1,CHMP7,823.0
ESR1,RPS12,734.0
ESR1,BAZ1B,748.0
ESR1,MUG1,944.0
ESR1,DIAPH1,671.0
ESR1,HIST1H3F,1122.0
ESR1,IQCH,980.0
ESR1,AAGAB,980.0
ESR1,NCBP3,865.0
ESR1,SAR1B,1305.0
ESR1,8030462N17RIK,820.0
ESR1,KCNS3,2203.0
ESR1,CUL9,1011.0
ESR1,GNG12,1234.0
ESR1,TMEM59L,1813.0
ESR1,LEKR1,806.0
ESR1,ADPRH,752.0
ESR1,TTI2,540.0
ESR1,HIST1H4N,489.0
ESR1,AP3M1,770.0
ESR1,STX18,1065.0
ESR1,ZFP959,897.0
ESR1,CTDP1,725.0
ESR1,ANKLE2,696.0
ESR1,POLR2A,704.0
ESR1,ANKHD1,550.0
ESR1,CNN3,1155.0
ESR1,LRRC61,609.0
ESR1,ZFP623,926.0
ESR1,PCM1,523.0
ESR1,PHF13,889.0
ESR1,COA7,836.0
ESR1,LSM11,869.0
ESR1,TSPAN14,1390.0
ESR1,SYNJ2,1745.0
ESR1,PRRC2A,596.0
ESR1,MINAR2,1616.0
ESR1,ZMYND8,1233.0
ESR1,SERBP1,887.0
ESR1,LENG1,1147.0
ESR1,KAT7,1068.0
ESR1,GDF10,1550.0
ESR1,VAPA,1267.0
ESR1,ZFP335,1136.0
ESR1,TESK1,578.0
ESR1,NECTIN1,1263.0
ESR1,TYW3,839.0
ESR1,SUN2,741.0
ESR1,NUP50,590.0
ESR1,HIBADH,833.0
ESR1,CRYZ,839.0
ESR1,CDK4,986.0
ESR1,TEN1,1410.0
ESR1,RPS9,731.0
ESR1,ACOX1,1410.0
ESR1,FAM214A,798.0
ESR1,ABHD12,1813.0
ESR1,OPA3,661.0
ESR1,GADD45A,783.0
ESR1,BIRC6,925.0
ESR1,CPM,1897.0
ESR1,DES,828.0
ESR1,TMED1,638.0
ESR1,HIST2H2BE,878.0
ESR1,HIST2H2AC,878.0
ESR1,KHK,1072.0
ESR1,U2SURP,823.0
ESR1,NBN,816.0
ESR1,DPAGT1,624.0
ESR1,GSAP,1276.0
ESR1,TMCO4,1086.0
ESR1,PABPC4,791.0
ESR1,SRD5A1,604.0
ESR1,NSUN2,604.0
ESR1,WDFY2,848.0
ESR1,CTU1,664.0
ESR1,LTO1,1627.0
ESR1,FARSB,567.0
ESR1,ADCY9,1469.0
ESR1,TNFAIP1,760.0
ESR1,IFT20,760.0
ESR1,PSMA1,799.0
ESR1,RPL27A,898.0
ESR1,ERGIC2,490.0
ESR1,FAM3C,935.0
ESR1,MET,1309.0
ESR1,WASF2,1319.0
ESR1,YPEL5,556.0
ESR1,TRDMT1,810.0
ESR1,PTGR2,895.0
ESR1,STAG1,632.0
ESR1,MLPH,1664.0
ESR1,LRRC8A,688.0
ESR1,MNAT1,1026.0
ESR1,APOL6,2754.0
ESR1,PTP4A1,941.0
ESR1,PEX2,1089.0
ESR1,MFAP5,1712.0
ESR1,SLAIN2,1191.0
ESR1,KIFAP3,824.0
ESR1,SRRD,1347.0
ESR1,LANCL2,1158.0
ESR1,HPS4,1347.0
ESR1,SMC2,822.0
ESR1,RAB5IF,820.0
ESR1,FYTTD1,816.0
ESR1,FAM83F,1692.0
ESR1,TRA2A,892.0
ESR1,HSPA9,822.0
ESR1,CDADC1,1194.0
ESR1,ATF4,848.0
ESR1,NOP14,715.0
ESR1,GRK4,715.0
ESR1,ATP5G2,585.0
ESR1,RBCK1,801.0
ESR1,SNTA1,1447.0
ESR1,RGL1,1175.0
ESR1,NDUFV1,794.0
ESR1,HNRNPA1,580.0
ESR1,CBX5,580.0
ESR1,RPL23,915.0
ESR1,PHF24,1670.0
ESR1,VPS33A,624.0
ESR1,FBXO32,1177.0
ESR1,EEFSEC,1159.0
ESR1,MOB4,849.0
ESR1,HES1,548.0
ESR1,NSUN4,901.0
ESR1,RALY,723.0
ESR1,RNF19A,1304.0
ESR1,MED6,917.0
ESR1,COL6A2,795.0
ESR1,MAP2K4,1375.0
ESR1,POLD3,707.0
ESR1,DNAAF2,587.0
ESR1,CACNA1H,1859.0
ESR1,CCT4,927.0
ESR1,SPINK10,953.0
ESR1,FBXO38,953.0
ESR1,AACS,699.0
ESR1,CARNMT1,524.0
ESR1,TMEM37,1657.0
ESR1,RNPS1,1214.0
ESR1,PSIP1,871.0
ESR1,OTUD6B,1096.0
ESR1,CALM2,930.0
ESR1,TMBIM1,855.0
ESR1,SNX5,1169.0
ESR1,PHOSPHO1,1630.0
ESR1,MGME1,1169.0
ESR1,FAF1,869.0
ESR1,VAMP1,905.0
ESR1,PPP1CB,737.0
ESR1,MAP7D1,866.0
ESR1,WTAP,811.0
ESR1,RAB7B,839.0
ESR1,BLOC1S6,889.0
ESR1,ZFP706,770.0
ESR1,MARK3,646.0
ESR1,RMND5B,903.0
ESR1,ATG101,587.0
ESR1,LPIN3,986.0
ESR1,NUDT5,860.0
ESR1,CDC123,860.0
ESR1,B4GALT7,1111.0
ESR1,TMEM198,874.0
ESR1,LMNA,390.0
ESR1,DHX16,807.0
ESR1,CHPF,874.0
ESR1,SMG1,1852.0
ESR1,ICE1,784.0
ESR1,ZYX,895.0
ESR1,RAB1A,856.0
ESR1,NUDCD1,909.0
ESR1,ENY2,909.0
ESR1,9430015G10RIK,1039.0
ESR1,NR2C2,562.0
ESR1,CETN4,1237.0
ESR1,BBS12,1237.0
ESR1,ABHD11,791.0
ESR1,PSMD8,585.0
ESR1,FOCAD,1057.0
ESR1,ELF2,978.0
ESR1,RPL38,728.0
ESR1,UBE2G1,731.0
ESR1,SSNA1,1351.0
ESR1,SLC35A3,990.0
ESR1,SETBP1,1389.0
ESR1,ANAPC2,1351.0
ESR1,TRMO,1022.0
ESR1,TDRD3,742.0
ESR1,CFAP20,758.0
ESR1,BRF2,1132.0
ESR1,RAPH1,1622.0
ESR1,DARS2,1130.0
ESR1,TMEM267,556.0
ESR1,NPLOC4,1054.0
ESR1,CISD3,1060.0
ESR1,NEK1,970.0
ESR1,RPIA,667.0
ESR1,KHDRBS1,649.0
ESR1,ARF4,469.0
ESR1,SLC29A1,1426.0
ESR1,SHARPIN,854.0
ESR1,MAF1,854.0
ESR1,ITGB8,1313.0
ESR1,D10WSU102E,772.0
ESR1,RSPO1,1241.0
ESR1,CXCL12,1533.0
ESR1,COX7A2,971.0
ESR1,RPRD1A,500.0
ESR1,RPP14,844.0
ESR1,NIPSNAP2,912.0
ESR1,NACA,837.0
ESR1,HTD2,844.0
ESR1,SNX3,528.0
ESR1,PARP2,649.0
ESR1,AHCYL2,1293.0
ESR1,CD2AP,1493.0
ESR1,PLAA,1372.0
ESR1,TMEM168,842.0
ESR1,PPAT,971.0
ESR1,PAICS,971.0
ESR1,SERPING1,1069.0
ESR1,OGT,719.0
ESR1,UBE3C,721.0
ESR1,SLC7A6,1071.0
ESR1,GOLGA3,1213.0
ESR1,VRK1,518.0
ESR1,NARFL,593.0
ESR1,TBC1D17,870.0
ESR1,PCNP,635.0
ESR1,FXYD1,988.0
ESR1,AKT1S1,870.0
ESR1,EXOC2,866.0
ESR1,ATE1,960.0
ESR1,ZBTB20,1686.0
ESR1,SLMAP,928.0
ESR1,LAMA2,1725.0
ESR1,ZFP276,1009.0
ESR1,VPS9D1,1009.0
ESR1,WDR53,1233.0
ESR1,PRPS1L1,1136.0
ESR1,FBXO45,1233.0
ESR1,PDCL3,1116.0
ESR1,LMBRD1,961.0
ESR1,MTMR6,797.0
ESR1,FBXO4,1657.0
ESR1,STK38L,614.0
ESR1,PPP1R15A,1147.0
ESR1,PLEKHA4,1147.0
ESR1,NEU3,897.0
ESR1,CACTIN,483.0
ESR1,UBQLN4,598.0
ESR1,LAMTOR2,598.0
ESR1,MRPL48,654.0
ESR1,MKRN2,1153.0
ESR1,ZFP983,1313.0
ESR1,MKRN3,1116.0
ESR1,HIST1H4A,1145.0
ESR1,ATP1A2,1583.0
ESR1,PYGO2,830.0
ESR1,CCDC90B,704.0
ESR1,DDX23,974.0
ESR1,SPSB3,920.0
ESR1,PMF1,919.0
ESR1,NUBP2,920.0
ESR1,HINFP,837.0
ESR1,CHPT1,1602.0
ESR1,YARS,849.0
ESR1,S100PBP,849.0
ESR1,6430548M08RIK,757.0
ESR1,GNB4,847.0
ESR1,SLC43A1,1589.0
ESR1,GNB1L,1093.0
ESR1,ETFBKMT,763.0
ESR1,MLF2,582.0
ESR1,DUSP28,747.0
ESR1,BBS1,857.0
ESR1,ANKRD13A,779.0
ESR1,DPH6,747.0
ESR1,SPAG9,604.0
ESR1,SEPT9,952.0
ESR1,SRSF2,594.0
ESR1,NDUFA6,596.0
ESR1,MFSD11,594.0
ESR1,HOXD8,1123.0
ESR1,DLAT,931.0
ESR1,4933411K16RIK,701.0
ESR1,RAB40C,707.0
ESR1,ICAM4,1478.0
ESR1,RGS2,1825.0
ESR1,USP20,825.0
ESR1,TAF9,1092.0
ESR1,RAD17,1092.0
ESR1,OTUD1,870.0
ESR1,BC005624,825.0
ESR1,AK6,1092.0
ESR1,BNIP3,1324.0
ESR1,H3F3B,540.0
ESR1,TMEM206,823.0
ESR1,MTOR,843.0
ESR1,LIPE,1054.0
ESR1,AKIRIN1,1079.0
ESR1,PLK2,1102.0
ESR1,MAFF,892.0
ESR1,SLC25A32,796.0
ESR1,DCAF13,796.0
ESR1,P2RY14,1319.0
ESR1,ITGAV,1096.0
ESR1,TUBGCP6,1541.0
ESR1,SPINDOC,1290.0
ESR1,FGL2,1327.0
ESR1,UBE4A,1379.0
ESR1,4933430I17RIK,937.0
ESR1,EML2,1125.0
ESR1,ZFP317,658.0
ESR1,EPB41L2,1736.0
ESR1,YWHAG,543.0
ESR1,TMEM43,727.0
ESR1,H2-Q8,1527.0
ESR1,H2-Q6,1527.0
ESR1,CHCHD4,727.0
ESR1,NECTIN2,741.0
ESR1,NDEL1,705.0
ESR1,ARAP2,1752.0
ESR1,PARVA,895.0
ESR1,HMGB1,596.0
ESR1,ZBTB22,1142.0
ESR1,C1RL,569.0
ESR1,NRBF2,1072.0
ESR1,RPL3,669.0
ESR1,ETFDH,706.0
ESR1,DHRS7,997.0
ESR1,4930579G24RIK,706.0
ESR1,TXNIP,776.0
ESR1,PTDSS2,1311.0
ESR1,UBE2B,833.0
ESR1,RETREG2,573.0
ESR1,FAM168A,512.0
ESR1,CNPPD1,573.0
ESR1,TSNAX,1221.0
ESR1,SCD1,741.0
ESR1,LRRC57,1525.0
ESR1,HAUS2,1525.0
ESR1,ORM1,743.0
ESR1,SECISBP2,1022.0
ESR1,STAM,837.0
ESR1,RFLNB,1055.0
ESR1,FASN,1039.0
ESR1,DEXI,741.0
ESR1,DDX17,796.0
ESR1,MAP3K6,1289.0
ESR1,KDM1A,826.0
ESR1,POMT1,497.0
ESR1,CSF1,1364.0
ESR1,UGDH,822.0
ESR1,IBA57,915.0
ESR1,ZMYND15,1863.0
ESR1,CXCL16,1863.0
ESR1,TRAK2,1471.0
ESR1,STRADB,1471.0
ESR1,GOSR1,552.0
ESR1,GAA,675.0
ESR1,SLC39A6,1006.0
ESR1,PTOV1,631.0
ESR1,P2RY2,1124.0
ESR1,OTUD4,575.0
ESR1,NFYB,592.0
ESR1,ELP2,1006.0
ESR1,RUFY3,1028.0
ESR1,HADHB,799.0
ESR1,HADHA,799.0
ESR1,BTG1,995.0
ESR1,TMA16,1043.0
ESR1,SARDH,1920.0
ESR1,LMBR1,1218.0
ESR1,SH2B1,1110.0
ESR1,CCNC,950.0
ESR1,ANXA4,657.0
ESR1,NSUN6,842.0
ESR1,LIMS2,1115.0
ESR1,ARL5B,842.0
ESR1,PPARA,970.0
ESR1,DNPEP,593.0
ESR1,VTA1,789.0
ESR1,WDR18,645.0
ESR1,TMCC1,791.0
ESR1,TM6SF2,1632.0
ESR1,SLC29A3,1147.0
ESR1,ZFP384,796.0
ESR1,TBCC,679.0
ESR1,PDIA4,716.0
ESR1,HNRNPH3,514.0
ESR1,NBEAL2,1133.0
ESR1,IRS2,1054.0
ESR1,PER3,848.0
ESR1,RPL35A,720.0
ESR1,IQCG,720.0
ESR1,PNPLA7,994.0
ESR1,MRPL41,994.0
ESR1,FBXL15,1024.0
ESR1,VAMP4,855.0
ESR1,SYNDIG1,1373.0
ESR1,RELL1,1338.0
ESR1,KNL1,633.0
ESR1,BRPF1,711.0
ESR1,ATXN1,1166.0
ESR1,BDH1,1109.0
ESR1,YIF1B,564.0
ESR1,SPAST,777.0
ESR1,RRNAD1,1245.0
ESR1,PRADC1,662.0
ESR1,LCA5L,1952.0
ESR1,ISG20L2,1245.0
ESR1,CCT7,662.0
ESR1,RAD50,542.0
ESR1,HSPH1,923.0
ESR1,CHAMP1,1145.0
ESR1,TFIP11,1004.0
ESR1,MRM3,1330.0
ESR1,GLOD4,1330.0
ESR1,CDKN2AIPNL,705.0
ESR1,ATG5,751.0
ESR1,NUDT13,635.0
ESR1,SIRT4,934.0
ESR1,P4HA1,769.0
ESR1,LIN9,1143.0
ESR1,CHTOP,677.0
ESR1,H2-Q9,1327.0
ESR1,H2-Q7,1327.0
ESR1,FANK1,1146.0
ESR1,CITED2,622.0
ESR1,ZFP119B,527.0
ESR1,RPL13A,725.0
ESR1,PTRH2,1113.0
ESR1,PSMD12,841.0
ESR1,DHRS3,1725.0
ESR1,ATAD2,893.0
ESR1,TRAPPC6A,1845.0
ESR1,BLOC1S3,1845.0
ESR1,ARL15,991.0
ESR1,HNRNPF,793.0
ESR1,MAGOH,986.0
ESR1,CSNK1D,758.0
ESR1,SCARB2,602.0
ESR1,PEX11G,912.0
ESR1,WASHC2,514.0
ESR1,TUFM,763.0
ESR1,CDC37L1,721.0
ESR1,ASCC3,933.0
ESR1,TTLL5,809.0
ESR1,SART3,897.0
ESR1,ISCU,897.0
ESR1,ERG28,809.0
ESR1,NFKBIL1,749.0
ESR1,KLF9,703.0
ESR1,ATP6V1G2,749.0
ESR1,RNFT1,822.0
ESR1,EIF4B,733.0
ESR1,PPP2CA,874.0
ESR1,H2AFX,541.0
ESR1,D2HGDH,824.0
ESR1,BAG2,1410.0
ESR1,ZZZ3,888.0
ESR1,HIST1H4D,368.0
ESR1,HSPA12B,1630.0
ESR1,CYC1,454.0
ESR1,ING3,795.0
ESR1,STOX2,1769.0
ESR1,DIEXF,734.0
ESR1,GM13287,482.0
ESR1,ZFP11,1154.0
ESR1,RER1,844.0
ESR1,MRC2,1025.0
ESR1,MORN1,844.0
ESR1,FBXO5,1290.0
ESR1,INTS6,1504.0
ESR1,ALYREF2,599.0
ESR1,ABHD16A,813.0
ESR1,HVCN1,1575.0
ESR1,RCE1,1432.0
ESR1,MTBP,1107.0
ESR1,MRPL13,1107.0
ESR1,OPN3,1048.0
ESR1,IMP4,709.0
ESR1,EML1,1482.0
ESR1,CRP,793.0
ESR1,CCDC115,709.0
ESR1,ALG14,514.0
ESR1,MAP2K6,1187.0
ESR1,SRP9,716.0
ESR1,SMIM12,813.0
ESR1,CEP295,537.0
ESR1,NAPEPLD,1102.0
ESR1,CLASP2,1427.0
ESR1,NAMPT,508.0
ESR1,MAP2K5,871.0
ESR1,DSTYK,601.0
ESR1,SCAF8,693.0
ESR1,MVK,795.0
ESR1,MMAB,795.0
ESR1,CAMTA1,806.0
ESR1,USP12,788.0
ESR1,RMDN3,1284.0
ESR1,RNF44,1039.0
ESR1,GAD2,1477.0
ESR1,DYRK1A,674.0
ESR1,DDX41,585.0
ESR1,EIF4E,425.0
ESR1,RPS19,677.0
ESR1,RAB23,916.0
ESR1,SSBP2,923.0
ESR1,HTT,798.0
ESR1,CCNO,699.0
ESR1,CCDC126,629.0
ESR1,ARHGAP29,1578.0
ESR1,WDR38,825.0
ESR1,KCTD12,1253.0
ESR1,LGALS1,660.0
ESR1,PRMT5,674.0
ESR1,CAP2,1341.0
ESR1,SENP2,1148.0
ESR1,WSB1,622.0
ESR1,VDAC1,848.0
ESR1,SPTSSA,1603.0
ESR1,CHMP4B,621.0
ESR1,ECHS1,916.0
ESR1,ATL3,662.0
ESR1,TMEM17,728.0
ESR1,SMC3,791.0
ESR1,PIGQ,1005.0
ESR1,EPB41L4A,1245.0
ESR1,VAMP3,970.0
ESR1,MRPS28,787.0
ESR1,INPPL1,1597.0
ESR1,NEURL1B,481.0
ESR1,PPME1,745.0
ESR1,CLN8,934.0
ESR1,C2CD3,745.0
ESR1,TRPC4AP,799.0
ESR1,GRHPR,1186.0
ESR1,UBE2G2,952.0
ESR1,LY6D,1222.0
ESR1,YWHAB,1075.0
ESR1,RAB22A,855.0
ESR1,GM13279,412.0
ESR1,GM13278,412.0
ESR1,ARHGAP28,1078.0
ESR1,AKAP11,730.0
ESR1,NOP56,702.0
ESR1,UBA5,998.0
ESR1,PLXND1,904.0
ESR1,LDLRAD3,741.0
ESR1,ACAD11,998.0
ESR1,A930033H14RIK,840.0
ESR1,UQCR11,874.0
ESR1,EPN1,589.0
ESR1,NDUFS8,801.0
ESR1,A430005L14RIK,755.0
ESR1,PPWD1,1013.0
ESR1,CENPK,1013.0
ESR1,GPX7,1431.0
ESR1,FCGRT,603.0
ESR1,BRF1,898.0
ESR1,ZFP446,558.0
ESR1,TCEA1,750.0
ESR1,TBL1XR1,521.0
ESR1,XPC,683.0
ESR1,PIM3,735.0
ESR1,LSM3,683.0
ESR1,DENND6B,763.0
ESR1,NOC4L,1106.0
ESR1,DDX51,1106.0
ESR1,9930021J03RIK,785.0
ESR1,ZBTB11,751.0
ESR1,DDX42,710.0
ESR1,CCDC47,710.0
ESR1,UROC1,2050.0
ESR1,ST3GAL2,1167.0
ESR1,KBTBD3,649.0
ESR1,AASDHPPT,649.0
ESR1,SLCO2B1,1238.0
ESR1,PSMD2,1034.0
ESR1,NBEAL1,728.0
ESR1,BZW1,770.0
ESR1,NBR1,972.0
ESR1,BRCA1,972.0
ESR1,SHOC2,718.0
ESR1,BBIP1,718.0
ESR1,RPS23,538.0
ESR1,SEPT7,1016.0
ESR1,TYW5,1121.0
ESR1,MAIP1,1121.0
ESR1,CDSN,1204.0
ESR1,DDB1,693.0
ESR1,ASXL2,711.0
ESR1,BIRC2,683.0
ESR1,UBE2Q1,532.0
ESR1,RALB,586.0
ESR1,KDM3A,626.0
ESR1,DPP9,870.0
ESR1,CNNM2,630.0
ESR1,NFE2L1,1293.0
ESR1,RBM27,681.0
ESR1,SRRM2,743.0
ESR1,RPL5,690.0
ESR1,GGA1,968.0
ESR1,MAX,851.0
ESR1,SH3GLB1,708.0
ESR1,KANSL1,1100.0
ESR1,CCT8,609.0
ESR1,TPST2,616.0
ESR1,DOP1B,1148.0
ESR1,BC004004,1069.0
ESR1,SLC15A4,781.0
ESR1,GEMIN7,1180.0
ESR1,SEC24D,1012.0
ESR1,IRF9,568.0
ESR1,DEF8,869.0
ESR1,ANKRD10,1080.0
ESR1,TGIF1,514.0
ESR1,RPUSD1,1076.0
ESR1,CHTF18,1076.0
ESR1,PTGIR,1388.0
ESR1,RPL26,675.0
ESR1,NEDD8,966.0
ESR1,GMPR2,966.0
ESR1,TRMT112,699.0
ESR1,RAB18,1005.0
ESR1,PRDX5,699.0
ESR1,PTGFRN,1652.0
ESR1,DAB2,700.0
ESR1,OLR1,1103.0
ESR1,GTF3A,1169.0
ESR1,THAP12,857.0
ESR1,KLHL18,778.0
ESR1,KIF9,778.0
ESR1,ASF1A,816.0
ESR1,EIF4ENIF1,723.0
ESR1,MARK2,574.0
ESR1,TFCP2,797.0
ESR1,L3HYPDH,555.0
ESR1,JKAMP,555.0
ESR1,CTSF,1926.0
ESR1,ATP8A1,1094.0
ESR1,ABCD4,1074.0
ESR1,CCNYL1,1020.0
ESR1,UPP2,1517.0
ESR1,SRPR,1280.0
ESR1,FOXRED1,1280.0
ESR1,DGAT1,674.0
ESR1,EMX2,725.0
ESR1,BRAF,1453.0
ESR1,TMEM268,1293.0
ESR1,RPLP0,515.0
ESR1,HDLBP,742.0
ESR1,ANKS6,1559.0
ESR1,EGFLAM,1691.0
ESR1,CCND3,977.0
ESR1,KLC2,1397.0
ESR1,DIRC2,568.0
ESR1,AVPI1,576.0
ESR1,DCAF8,458.0
ESR1,SNAPIN,743.0
ESR1,SRSF5,921.0
ESR1,PPIB,684.0
ESR1,OVGP1,1020.0
ESR1,BCAR3,826.0
ESR1,WDR89,714.0
ESR1,FXR2,606.0
ESR1,LAMP1,616.0
ESR1,DDX49,1259.0
ESR1,COPE,1259.0
ESR1,ARMC1,637.0
ESR1,SBF1,893.0
ESR1,MMAA,785.0
ESR1,GM13276,522.0
ESR1,ATAD3A,561.0
ESR1,IVD,393.0
ESR1,ADPGK,866.0
ESR1,GPHN,1003.0
ESR1,NDUFA5,826.0
ESR1,ASB15,826.0
ESR1,MYH9,972.0
ESR1,GPBP1,730.0
ESR1,LUC7L,676.0
ESR1,EBPL,559.0
ESR1,UBXN2B,1077.0
ESR1,MSRB1,1100.0
ESR1,CDK5,441.0
ESR1,ERC1,980.0
ESR1,SERPINF1,1015.0
ESR1,GNB2,412.0
ESR1,FKBP1A,819.0
ESR1,ATP1A1,879.0
ESR1,CYP24A1,1207.0
ESR1,GM10509,1101.0
ESR1,MLST8,701.0
ESR1,DPEP1,1903.0
ESR1,SLC25A47,1478.0
ESR1,TNRC6B,483.0
ESR1,SOD3,758.0
ESR1,SNED1,645.0
ESR1,HINT3,1023.0
ESR1,YPEL2,1004.0
ESR1,NT5C2,720.0
ESR1,ITGB1BP1,724.0
ESR1,CPSF3,724.0
ESR1,MIEF1,614.0
ESR1,GTF2I,603.0
ESR1,ADNP,566.0
ESR1,FAAP100,464.0
ESR1,PSMG2,600.0
ESR1,CEP76,600.0
ESR1,MRPL2,1197.0
ESR1,KLC4,1197.0
ESR1,ZSWIM6,1227.0
ESR1,ZC3H13,599.0
ESR1,NENF,1255.0
ESR1,FAM227A,739.0
ESR1,CBY1,739.0
ESR1,ADPRHL2,698.0
ESR1,TXLNA,1503.0
ESR1,RNF6,815.0
ESR1,PSMC6,906.0
ESR1,ZFP423,1237.0
ESR1,PA2G4,680.0
ESR1,ZFP661,697.0
ESR1,RHEB,747.0
ESR1,NDUFAF4,653.0
ESR1,SEC61A1,687.0
ESR1,RETSAT,621.0
ESR1,PDXK,1111.0
ESR1,ELMOD3,621.0
ESR1,CBL,723.0
ESR1,WDR43,686.0
ESR1,SLC9A8,644.0
ESR1,RXRA,698.0
ESR1,OAF,572.0
ESR1,ZAP70,776.0
ESR1,ULK4,578.0
ESR1,MAGOHB,1334.0
ESR1,SERP2,1580.0
ESR1,MRPL12,594.0
ESR1,SREK1,940.0
ESR1,DNAJB12,780.0
ESR1,GALE,624.0
ESR1,SEC61B,561.0
ESR1,CCDC174,529.0
ESR1,ALG2,561.0
ESR1,AGBL5,597.0
ESR1,PBLD2,510.0
ESR1,MRPL17,893.0
ESR1,PJA2,605.0
ESR1,METTL24,1245.0
ESR1,ATP9B,1123.0
ESR1,SELENOP,671.0
ESR1,RMDN1,885.0
ESR1,PHB,910.0
ESR1,CAAP1,1045.0
ESR1,ACYP1,387.0
ESR1,GAB2,1104.0
ESR1,ZCCHC24,1599.0
ESR1,ARL6IP1,619.0
ESR1,H2-L,689.0
ESR1,H2-D1,689.0
ESR1,USP16,708.0
ESR1,SEH1L,861.0
ESR1,MTHFS,586.0
ESR1,ANKRD11,773.0
ESR1,SNX14,623.0
ESR1,RPS6KA5,594.0
ESR1,MRPS34,769.0
