cellType	geneMarker
Dermal papilla cell	CD133,PROM1
Distal tubule cell	ABCA13,ACSM2,AGS,AHD,AQP2,ATP1G1,AVPR2,AWS,BD1,BIR9,C12orf59,C15orf6,CALB,CALB1,CD339,CD71,CHAK1,CHAK2,CLCNKB,CLDN8,CWH43,CWH43-C,D22S749,DAND7,DEFB-1,DEFB1,DEFB101,DIR,DIR3,DKFZp434K245,DKFZp564D206,DKFZp686E0316,EGF,EMX1,ENaCalpha,FLJ10378,FLJ21511,FLJ22628,FLJ31166,FLJ31300,FLJ33876,FLJ33951,FXYD2,GBAS,HBD-1,HBD1,hClC-Kb,HJ1,HMFN0320,HOMG,HOMG2,HOX4E,HOXB5OS,HOXD8,HSAN2,HSH,HSN2,JAG1,JAGL1,KAP,KCNJ1,KCNJ16,KIAA0669,KIAA1129,Kir1.1,Kir5.1,KL,KLHL3,KLK1,Klk6,KNG2,LARP1B,LARP2,LHX1,LHX1OS,LIM-1,LTRPC7,MCT2,MGC12372,MGC26963,MGC51822,NCCT,NCX1,NR1I1,p90,PAP-II,PDRC2,PGAM-M,PGAM2,PGAP2IP,PGPEP2,PPP1R163,PPP1R167,PRKWNK1,PRKWNK4,PVALB,RHCG,RHGK,ROMK1,SCNN1,SCNN1A,SGMS2,SLC12A3,SLC16A7,SLC42A3,SLC8A1,SMS2,SOSTDC1,TFR1,TFRC,TILZ4a,TILZ4b,TILZ4c,TMEM213,TMEM52B,TRH-DE,TRHDE,TRP-PLIK,TRPM6,TRPM7,TSC22D2,UMOD,UROC1,USAG1,USMG5,V2R,VDR,WFDC15B,WNK1,WNK4
Dopaminergic neuron	Dopamine transporter,FOLR1,FOXA2,GIRK2,KCNJ6,LMX1B,NR4A2,NURR1,SC6A3,SLC6A3,TH,TY3H,Tyrosine hydroxylase
Dopaminergic neurons	AADC,ASMD,Atoh2,bHLHa2,BIR1,CACNA2D2,CADPS2,CAPS2,CHRNA6,DAT,DDC,DYT5b,FOXA2,GIRK2,HBSCII,hiGIRK2,HNF3B,HsT17436,HZF-3,IB2,JIP2,JV15-2,KATP2,KCNJ6,KCNJ7,KIAA0558,Kir3.2,LMX1B,MADH3,MAPK8IP2,Math-2,MGC57564,Nav1.2,NEUROD6,Nex1,NEX1M,NOT,NPS1,NR4A2,NTN1,NTN1L,NURR1,ODZ1,PITX3,PKCC,PKCG,PRKCG,PRKM8IPL,RNR1,SCA14,SCN2A,SCN2A1,SCN2A2,SLC18A2,SLC18A3,SLC6A3,SMAD3,SVAT,SVMT,TEN-M1,TENM1,TH,TINUR,TNM,VACHT,VMAT2,ZIM3,ZNF657
Double-negative B cell	CD19,CD27,IgD,IgD family
Double-negative memory B cell	CD19,CD27,IgD,IgD family
Ductal cell	PROM1
Early hematopoietic cell	AC133,PROM1
Early transit-amplifying prostate epithelial cell	PSCA
EBV+ B lymphoma cell	A4GAT,B4GALT5,CD77
Ectoderm cell	NCAM,NCAM1,NOTC1,NOTCH1
Effector CD4+ memory T (Tem) cell	CCR7,CD45RA,PTPRC
Effector CD8+ memory T (Tem) cell	3BP5,ADAM8,ADGRG1,ADRB2,AGRG1,AGTPBP1,AHNAK,AHNK,ARHGAP25,ARL4C,BIN2,C12orf75,C1orf21,CA021,CAN2,CAPN2,CASP8,CBPC1,CD300A,CEP78,CLM8,CX3C1,CX3CR1,DEST,DSTN,EFHD2,EMP3,FCG3A,FCG3B,FCGR3A,FCGR3B,FCRL6,FGFBP2,FGFP2,FGR,FLNA,FUT11,GAB3,GK5,GLNA,GLPK5,GLUL,GNLY,GRAB,GRAH,GTR1,GZMB,GZMH,ITAM,ITGAM,KCAB2,KCNAB2,KLRD1,KLRF1,KPCB,L2GL2,LEG1,LGALS1,LILRB1,LIRB1,LITAF,LLGL2,LPCAT1,LUZP6,MBP,MTSS1,MYO1F,MYO1G,NHRF1,OSBL5,OSBPL5,PATL2,PAXI,PCAT1,PI3R5,PIK3R5,PKHG3,PLEK,PLEKHG3,PRKCB,PRS23,PRSS23,PXN,RAP1B,RAP1GAP2,RAP2B,RASF1,RASSF1,RGS19,RHG25,RN166,RNF166,RPGP2,S1PR5,SAMD3,SH3BP5,SH3BP5-AS1,SLC2A1,SLC9A3R1,SLCO4C1,SO4C1,SPON2,SRPK2,STK10,SYNE1,T4S19,TAGL2,TAGLN2,TBX21,TGBR3,TGFBR3,TM4SF19,TM4SF19-TCTEX1D2,TPST2,TTC16,TTC38,UBP28,USP28,VCL,VEZF1,VINC,WDR37,ZEB2,ZEB2-AS1,ZN600,ZNF600
Effector memory T cell	CCR7,CD127,CD197,CD27,CD4,CD44,CD45RA,CD45RO,CD62L,CD8,CD8A,EOMES,IL7R,IL7RA,KLRG1,LYAM1,PTPRC,SELL
Effector regulatory T (Treg) cell	CD25,CD4,CD49d,IL2RA,ITA4,ITGA4
Effector T cell	BTLA,CD122,CD134,CD137,CD223,CD25,CD27,CD272,CD278,CD279,CD30,CD366,CD4,CD45RA,CD62L,CD69,CD8,CD8A,HAVCR2,ICOS,IL2RA,IL2RB,KLRG1,LAG3,LYAM1,PDCD1,PTPRC,SELL,T-bet,TBX21,TNFRSF4,TNFRSF8,TNFRSF9,TNR4,TNR8,TNR9
Embryonic stem cell	ABCG2,ALPL,c-Kit,CADH1,CADH3,CCR4,CD117,CD133,CD15,CD24,CD29,CD30,CD31,CD324,CD326,CD338,CD49f,CD59,CD9,CD90,CDH1,CDH3,CHST10,CHSTA,DNM3B,DNMT3B,EpCAM,EPCAM,FORSE1,Frizzled-5,FUT4,FZD5,GCTM-2,HNK1,ITA6,ITB1,ITGA6,ITGB1,KIT,L1TD1,LEFTY2,LEFTYA,LFTY2,LIN28,LIN28A,LITD1,NANOG,NGFR,OCT3/4,OCT4,P75,PECA1,PECAM1,PO5F1,Podocalyxin,PODXL,POU5F1,PPBT,PROM1,REX1,SOX2,SSEA-1,SSEA-3,SSEA-4,SSEA-5,SSEA1,Stage Specific Embryonic Antigens,TERT,THY1,TNFRSF8,TNR16,TNR8,TRA-1-60,TRA-1-81,TRA-2-49,TRA-2-54,ZFP42
Endocrine cell	CD200,CD318,CD99,CDCP1,Chromogranin,Chromogranin family,DISP2,LRP11,OX2G,SE6L2,SEZ6L2,SLC30A8,Solute carrier family 30,ZNT8
Endocrine progenitor cell	CXCR4,DDR1,DNER
Endoderm progenitor cell	CD133,CD31,CD34,PECA1,PECAM1,PROM1
Endometrial progenitor cell	IPO13
Endometrial stem cell	5NTD,ABCG2,ALCAM,CD105,CD106,CD117,CD133,CD140b,CD146,CD166,CD29,CD31,CD34,CD44,CD45,CD49d,CD54,CD73,CD90,EGLN,ENG,ICAM1,IPO13,ITA4,ITB1,ITGA4,ITGB1,KIT,LGR5,MCAM,MSI1,MSI1H,MUC18,NES,NEST,Nestin,NT5E,OCT4,PDGFRB,PECA1,PECAM1,PGFRB,PO5F1,POU5F1,PROM1,PTPRC,SOX2,SSEA-4,SUSD2,THY1,VCAM1
Endometrial stromal stem cell	CD29,CD34,CD45,CD90,GP1BA,ITB1,ITGB1,THY1
Endothelial cell	5NTD,8ODP,A2M,A2MG,A4GALT,A4GAT,ABCB7,ABCG2,ACE,ACKR2,ACYP1,ADGRL2,AEBP1,AGGF1,AGRL2,AKA12,AKAP12,ALCAM,AMPN,AMZ2P1,AN32E,ANO10,ANP32E,ANPEP,ANTR1,ANTXR1,ANXA2,AP1S2,APBP2,APEL,Apelin,APLD1,APLN,APOLD1,APPBP2,AQP1,ARGL1,ARGLU1,ARL4A,ARL8B,ARMCX2,ARMX2,AT10D,ATP10D,BASI,BBS4,BCAT1,BCHE,BDCA-3,BIN1,BIRC5,BMPR1A,BMR1A,BNIP1,BNIP3,BORG1,BRD3,BSG,BST2,BTNL9,BUB1B,BUB3,BY55,C11orf96,C19orf48,C1orf112,C1QR1,C22orf39,C3orf58,CA112,CADH1,CADH2,CADH5,CARD8,CASP7,CATL1,CBX1,CC Chemokine Receptor D6,CC85B,CCDC85B,CCL14,CCNG1,CD102,CD105,CD106,CD112,CD117,CD11b,CD123,CD13,CD133,CD141,CD143,CD144,CD146,CD147,CD150,CD151,CD160,CD166,CD18,CD201,CD202b,CD206,CD209,CD220,CD231,CD24,CD248,CD269,CD271,CD292,CD299,CD300g,CD300LG,CD309,CD31,CD324,CD325,CD332,CD34,CD36,CD39,CD4,CD40,CD42b,CD44,CD45,CD47,CD49d,CD54,CD56,CD61,CD62,CD62E,CD62P,CD66,CD66d,CD71,CD73,CD77,CD81,CD90,CD93,CDC42EP2,CDC73,CDCA5,CDH1,CDH2,CDH5,CDK13,CDKL1,CDKN1C,CDN1C,CE152,CEA family,CEACAM3,CEAM3,CENPJ,CENPK,CENPN,CENPR,CENPU,CEP152,CES2,CHD4,CHLE,CK096,CKLF7,CKS1,CKS1B,CLC1B,CLC2B,CLC4G,CLC4M,CLD4,CLDN4,CLEC1B,CLEC2B,CLEC4G,CLEC4M,CLM9,CMTM7,CND2,CO6A2,Coagulation Factor III,COL11,COL12,COL6A2,COLEC11,COLEC12,COT2,COTL1,CRBN,CRHBP,CS048,CTDSPL2,CTSL,CTSL2,CV039,CXCR4,DAB2,DCBD2,DCBLD2,DCLRE1C,DCR1C,DDAH2,DESP,DIA1,DLC1,DLG1,DLGAP5,DLGP5,DLK1,DNAJC1,DNASE1L3,DNJC1,DNMT1,DNSL3,DNTTIP2,DOCK1,DPH3,DPYL2,DPYSL2,DSP,DTYMK,DUS5,DUSP5,ECSCR,EDG1,EDG3,EDG5,EDG6,EDG8,EFHC1,EFNB2,EGFL7,EGLN,EIF2S3,EIF4E,ELF1,ELK3,EMCN,Endocan,Endoglin,Endomucin,ENG,ENOS,ENTP1,ENTPD1,EpCAM,EPCAM,EPCR,EPHB4,EPOR,Erythropoietin R,ESAM,ESM1,EST2,ETS2,F2R,F3,F8,FA8,FABP5,FABP6,FAM126A,FAM73A,FANCI,FCN2,FCN3,FGFR1,FGFR2,FILIP1,FINC,FKB1A,FKBP1A,FLIP1,FLK1,FLRT2,FLT1,FLT4,FN1,FOSB,FSTL1,FVIII,FXYD6,GANP,GBG11,GBP4,GGA2,GGH,GLPC,GLTP,GMDS,GNG11,GP161,GP1BA,GPC3,GPCP1,GPCPD1,GPR116,GPR161,GRP3,GYPC,H14,H2AFZ,H2AZ,HAPLN1,HARE,HELLS,HES1,HIST1H1E,HIST1H4C,HLA-E,HLAE,HMGB1,HMGB3,HMGN2,HNRNPD,HNRPD,HPC,HPLN1,HSPB1,HTF4,HYCCI,HYI,I13R1,IC1,ICAM,ICAM family,ICAM1,ICAM2,IDH2,IDHP,IF16,IF2G,IF4E,IFI16,IFT27,IL-1 RI,IL-13 R alpha 1,IL13RA1,IL1R1,IL33,IL3RA,INSR,Integrin alpha 4 beta 1,Integrin alpha 4 beta 7,INVS,ITA4,ITA5,ITAE,ITAM,ITB1,ITB2,ITB3,ITB7,ITGA4,ITGA5,ITGAE,ITGAM,ITGB1,ITGB2,ITGB3,ITGB3BP,ITGB7,ITM2A,JAM3,K0355,K1C18,K1C19,KDR,KI20B,KIAA0101,KIAA0355,KIF1B,KIF20B,KIF22,KIF23,KIT,KLF4,KLH28,KLHL28,KLHL7,KNTC1,KRT18,KRT19,KTHY,LAMA4,LDB2,LDHA,LGR5,LIFR,LIMS1,LMNB2,LMO4,LOC441081,LRRN3,LYAM2,LYAM3,LYM1,LYM3,LYVE-1,LYVE1,MA1A1,MAN1A1,MARCKS,MARCS,MCAM,MCM3AP,MCUR1,MDK,MEF2C,MEIS2,MFN1,MGAT5,MGMT,MGT5A,MK,MPZL3,MRC1,MRPL13,MRPS34,MUC18,MUCEN,MYD88,MYH10,MYO1C,MZT1,NCAM1,NCAPH,NECT2,NECTIN2,NFIB,NGFR,NOS3,NR2F1-AS1,NR2F2,NRP1,NSE2,NSE4A,NSMCE2,NSMCE4A,NT5E,NUDT1,OCLN,OIT3,P3C2A,PAR1,PCD17,PCDH17,PCOC1,PCOLCE,PD-ECGF,PDCL,PDE6D,PDGFR,PDPN,PEAR1,PECA1,PECAM1,PFN1,PHLP,PIK3C2A,PLDX1,PLK2,PLVAP,PLXDC1,Podocalyxin,Podoplanin,PODXL,POLK,POLR2E,PPAP2B,PPIH,PPP6,PPP6C,PPWD1,PROCR,PROF1,PROM1,PRR11,PSB3,PSMB3,PTEN,PTGR3,PTMA,PTN,PTPRB,PTPRC,PTRF,PTTG1,RAB1B,RAD51,Raftlin,RAMP2,RANBP1,RANG,RASGEF1B,RASGRP3,RCBT2,RCBTB2,RCHY1,RELN,RFTN1,RFWD3,RGF1B,RHG07,RIN2,RM13,RPAB1,RPAP2,RT34,S100A4,S10A4,S1PR1,S1PR2,S1PR3,S1PR4,S1PR5,S35E3,S39A9,SASH1,SBP2L,SEC20,SECISBP2L,SELE,SELL,SELP,SEM3G,SEMA3G,SEPP1,SEPT11,SERPING1,SH3BGRL3,SH3L3,SIA8A,SIAT1,SKA2,SLAF1,SLAMF1,SLC14A1,SLC35E3,SLC39A9,SLIT2,SMAD1,SMD1,SMTN,SNAI2,SNAP47,SNP47,SNRPD1,SOX4,SPAG5,SPATS2L,SPS2L,SPTB2,SPTBN1,SSBP2,ST6GAL1,ST8SIA1,STAB1,STAB2,Stabilin-1,Stabilin-2,STMN1,STRN3,STX7,T4S1,TACC3,TB15A,TBB5,TBB6,TCF12,TDIF2,TEK,TEM7,TEM8,TER119,TEX264,TF,TFR1,TFRC,THBD,THOC3,Thrombomodulin,THS7A,THSD1,THSD7A,THY1,TIE-1,TIE-2,TIE1,TIE2,TIMP3,TM107,TM116,TM4SF1,TMEM107,TMEM116,TMSB15A,TMSB4X,TNFRSF10A,TNFRSF10B,TNFRSF17,TNFRSF1A,TNFRSF1B,TNR16,TNR17,TNR1A,TNR1B,TNR5,TPC11,TR10A,TR10B,TRAPPC11,TRBM,TSN12,TSN4,TSN7,TSPAN12,TSPAN4,TSPAN7,TSPO,TTK,TUBB,TUBB6,TX264,TYB4,TYMP,TYPH,UBP48,USP48,UT1,VCAM1,VE-cadherin,VE-Cadherin,VE-Statin,VEGF,VEGF R1,VEGF R2,VEGF R3,VEGFA,VEGFR,VEGFR-1,VEGFR-2,VEGFR-3,VG5Q,VGFR1,VGFR2,VGFR3,VMF,von Willebrand factor,VWF,WDHD1,WDR76,WWOX,XRCC5,Z286A,Z286B,ZADH2,ZBT44,ZBTB2,ZBTB44,ZCCHC24,ZCH24,ZEB1,ZN195,ZN362,ZN363,ZN521,ZN652,ZNF195,ZNF286A,ZNF286B,ZNF362,ZNF521,ZNF652
Endothelial cell (aorta)	ACE,ACE1,ACKR3,ADH-4,ADH1,ADH7,AEPLC,ALI1,ALP56,ALPHA-RLC,AMIGO2,amisyn,ANPa,ANPRA,APH-1B,APH1B,APO-1,APT1,ARF4L,ARG99,ARGEF15,ARHGEF15,ARL4D,ARL6IP2,ATL2,ATP2A3,bA548K23.8,BACE2,BENE,bHLHb32,BMP2B,BMP4,BMP6,BMX,C1-TEN,C10orf26,C17,C22orf5,C4orf18,C4orf4,C4S-2,C4ST2,CA44,CALCRL,CAR8,CCD41,CD104,CD141,CD143,CD148,CD201,CD344,CD364,CD49e,CD95,CEAP1,CGI-PDE,CGRPR,CHST12,CLEC1,CLEC1A,CLEVER-1,CMKLR1,CMKOR1,COL4A3,COL4A4,CP1B,CPQ,CRACR2B,CRLR,CSX3,CX40,CXCR7,CYP1B1,CYP8A1,CYTL1,DCP1,DEGA,DENND5B,DEP1,DHH,dJ90K10.5,DKFZp434L142,DKFZp564D0372,DKFZP586A1024,DKFZp586M121,DKFZp762A217,DRAP,ear-1,EC-SOD,ECNOS,EFCAB4A,EFNB2,EHD3,EMILIN1,ENED,eNOS,ENPP4,EPCR,EPHX2,EPLG5,FAM198B,FAS,FAS1,FEEL-1,FELE-1,FEX1,FGD5,FKBP23,FKBP7,FKHL14,FKSG28,FKSG40,FLJ00274,FLJ11110,FLJ12614,FLJ13791,FLJ20154,FLJ22343,FLJ23440,FLJ30401,FLJ31400,FLJ38155,FLJ39957,FLJ41625,FM08,FNRA,FOXC2,FZD4,GB14,GIMAP4,GJA5,GKN3,GLC3A,GLT8D4,GOA,gp115,GPR159,GRASP,GRCB,GSTT1,GUCY2A,GXYLT2,H2-Q6,HERP1,HESR2,HEY2,HFE,HHG-3,HIMAP4,HLA-H,HNP,HPTPeta,hRev,HS5O6A,HSPC156,HsT17432,HSU47926,hSulf-1,Htk-L,HTKL,HYAL2,IAN1,IMAP4,ITGA4L,ITGA5,ITGA9,ITGB4,ITGBL1,KAZALD1,KIAA0246,KIAA0750,KIAA0879,KIAA0915,KIAA1029,KIAA1075,KIAA1077,KLK10,KLK8,LAMB2,LAMS,LDP,LEPREL2,LERK5,LMCD1,LOX,LuCa-2,LUCA2,MALL,MARVELD1,MFH-1,MGC126226,MGC126227,MGC126228,MGC24039,MGC34328,MGC35145,MGC4415,MGC44868,MGC45378,MGC45840,MICAL2,MRVLDC1,MSMBBP,NES1,NKX2-3,NKX2.3,NKX2C,NKX4-3,NOS3,NPHS5,NPP4,NPR1,NPRA,NR1D1,NRX,NTN1,NTN1L,NXN,OLF,OPAL1,ovasin,P-PST,P3H3,PAST3,PCOLCE2,PCPE2,PDE3A,PDIA5,PER3,PGCP,PGIS,PI16,PKN3,PKNbeta,PROCR,PRSS19,PSCTK3,PSFL,PTGIS,PTPRJ,Rev-ErbAalpha,REVERBA,REVERBalpha,RLC,RNF100,RVER1,SCARH2,SERCA3,SHE,SMAD6,SMOC1,SOD3,SOX18,SQRDL,SSFA2,STAB-1,STAB1,STP1,STXBP6,SULF-1,SULF1,SULT1A1,SYNPO,TADG14,Tamalin,TENC1,THBD,THRAL,TIED,TMEM184B,TMTC1,TMTC2,TNFRSF6,TNS2,TRIM47,UTDP4-1,VGR,VGR1,Vsm-RhoGEF,WBP1L,ZFYVE23
Endothelial cell (blood brain barrier)	ABCG2,ABCP,ALCAM,BCRP,BPES,BPES1,CD166,CD338,CD358,DR6,EST157481,ETBR-LP-2,FAAR,FKHL6,FLJ45472,FOLT,FOXF2,FOXL2,FOXQ1,FREAC2,GFAP,GPR37L1,HFH1,HTX,HTX1,KIAA0238,LEF1,MEMD,MXR,NR1C2,NUC1,NUCII,PPARD,RFC1,SLC13A4,SLC19A1,SLC23A1,SLC23A2,SLC38A3,SN1,SUT-1,SUT1,SVCT2,TAJ,TAJ-alpha,TCF10,TCF1ALPHA,TCF7L3,TNFRSF19,TNFRSF21,TRADE,TROY,YSPL2,ZFP551,ZIC3,ZNF203
Endothelial precursor cell	CD133,CD31,FLK1,FLT1,KDR,PECA1,PECAM1,PROM1,TEK,TIE-2,TIE2,VGFR1,VGFR2
Endothelial progenitor cell	CADH5,CD117,CD133,CD135,CD31,CD34,CD45,CD90,CDH5,EGFR2,FLT3,KDR,KIT,NANOG,PECA1,PECAM1,PROM1,PTPRC,SUSD2,THY1,VE-Cadherin,VEGFR-2,VGFR2
Endothelial stem cell	CD102,CD105,CD106,CD114,CD117,CD120a,CD120b,CD14,CD146,CD29,CD31,CD34,CD45,CD49d,CD49e,CD49f,CD54,CD62L,CD62P,CSF3R,EGLN,ENG,ICAM1,ICAM2,ITA4,ITA5,ITA6,ITB1,ITGA4,ITGA5,ITGA6,ITGB1,KIT,LYAM1,LYAM3,MCAM,MUC18,PECA1,PECAM1,PTPRC,SELL,SELP,TNFRSF1A,TNFRSF1B,TNR1A,TNR1B,VCAM1
Enteric glia cell	A28-RGS14,ALDH1,ALDH1A1,ALDH1A3,ALDH6,BMAC,bolekine,BRAK,CD171,CMT1,CMT1B,CMT2I,CMT2J,CXCL14,DBI-1,DDX26,DDX26A,DHRS3,DICE1,DKK3,DOM,FLJ45472,FOXD3,Genesis,GFAP,GFRa-3,GFRA3,HDB,HEP-NOS,HFH2,HMSNIB,HSAS,HSAS1,iNOS,INTS6,Kec,L1CAM,LGI4,MIC5,MIP-2g,MPZ,NJAC,NOS2,NOS2A,Notchl2,PUMB1,RALDH1,RALDH3,RDH17,REIC,retSDR1,RGS-r,RGS16,Rsdr1,S100B,S100beta,SCYB14,SDR16C1,SLC18A2,SOX10,SPG1,SVAT,SVMT,VMAT2,WS2E,WS4
Enteric neurons	AF1,AHDC1,ARHGAP26,ARHGEF28,ARNO3,ASTN,ASTN1,ATF5,B56B,B56beta,bA360O19.2,bA421M1.1,bA451M19.3,bA459F3.4,bHLHa26,BII,BRUNOL6,C10orf132,C10orf133,C20orf102,C20orf161,C2PA,C5orf11,CACH6,CACNA1B,CACNA1E,CACNL1A5,CACNL1A6,CACNN,CAGL237,CART,CARTPT,castor,CASZ1,Cav2.2,Cav2.3,CCAT,CCK,CDHF12,CDHR16,CELF6,CHRNA3,CHT1,cst,CT98,CYB561,CYB561A1,CYTH3,cytohesin-3,dHand,DHHC2,dJ1118M15.2,DJ159A19.3,dJ337O18.4,DKFZp566D234,DKFZP761C241,DMKN,DRAGON,ECS-1,ECS1,EFNA5,EML5,Enx,EPLG7,FAM19A1,FAM19A5,Fbx,FBX7,FBXO7,FILIP,FILIP1,FLJ10667,FLJ10793,FLJ12254,FLJ16752,FLJ20160,FLJ20321,FLJ20370,FLJ35411,FLJ41346,FLJ90406,FLOT2,FRRS2,FSTL5,GAL,GAL-GMAP,GALN,GCNT2,GCNT5,GDNFRB,GFRA2,GLNN,GMAP,GOLGA7B,GPR22,GRAF,GRP1,HAND2,hCHT,HDL2,Hed,HIVEP3,HOX11L1,HOX1C,HOX2A,HOX2F,HOXA5,HOXB4,HOXB5,HSCR1,HuEMAP-2,IGF2BP3,IGNT,II,il-TMP,IMP-3,JP-3,JP3,JPH3,KBP-1,KBP1,KIAA0621,KIAA0808,KIAA0847,KIAA1263,KIAA1275,KIAA1516,KIAA1555,KIAA1613,KIAA1686,KIAA1878,KRC,LERK7,Lft,LIX1,LLGL3,M17S1,MAP6,MAP6-N,MEN2A,MEN2B,MFSD6,MGC29802,MTC1,MXRA2,MYL1,NACGT1,NaG,NAGCT1,Nav1.3,Nav2.1,Nav2.2,NBPhox,NCX,NKNA,NMU,NPHS3,NPK,NTNRA,NY-CO-33,OPHN1L,OPHN1L1,p190RhoGEF,PARK15,PARVA,PDZ-RGS3,Phox2b,PHOX2B,PI3K,PIK3CA,PIRT,PLCE1,PLEKHA5,PMX2B,PPP1R142,PPP2R5B,PR61B,PSCD3,rd5,RET,RET51,RETL2,RGMB,RGNEF,RGS3,RP1-159A19.1,SCA11,Schnurri-3,SCN3A,SCN6A,SCN7A,SDCCAG33,SHN3,SLC10A4,SLC18A3,SLC5A7,SLC7A14,SNX-L,SNX21,SRG,STOP,STXBP5,TAC1,TAC2,TAFA-1,TAFA-5,TAFA1,Thing2,Tlx2,TLX2,TM4SF4,TNRC22,tomosyn,TOX,TOX1,TRNR2,TSHZ1,TTBK2,TUB,ULG3,VACHT,VEZT,VIP,VSTM2L,ZAS3,ZD52F10,ZDHHC2,ZNF372,ZNF40C,ZNF693
Enterochromaffin cell	ADGRG4,ADM,AFGF,AFP,AM,ANKTM1,C18orf30,C18orf58,CGAT,CMTX,CMTX1,CRH,CRH1,CX32,ECGF,ECGF-beta,ECGFA,ECGFB,FAM38B,FAM38B2,FETA,FGF-alpha,FGF1,FGFA,FLJ23144,FLJ23403,FLJ34907,GISP,GJB1,GLIO703,GPR112,HBGF1,HPAFP,HsT748,HsT771,LMX1,LMX1.1,LMX1A,PGR17,PIEZO2,REG-IV,REG4,RELP,RP1-299I16,SLC18A1,TPH,TPH1,TPRH,TRPA1,VAT1,VMAT1
Enterocyte	AEGP,AMPN,ANPEP,AOC1,AQP8,C21orf62,CA7,CAH7,CDHR5,CEACAM7,CEAM7,CLD23,CLDN23,CNKR1,CNKSR1,CP2W1,CP3A5,CU062,CYP2W1,CYP3A5,DGAT1,DPEP1,EFNA2,EPS8L3,ES8L3,GPAN1,GPANK1,GSTA1,GUC2A,GUC2B,GUCA2A,GUCA2B,HTAI2,HTATIP2,IF2B2,IGF2BP2,KCNJ5,LAD1,LOC646214,LPAR5,LRC57,LRRC57,LYPD8,MALL,MAMDC4,MCF2L2,MF2L2,MLXIPL,MLXPL,MOGAT2,MOGT2,MSLN,MUC20,MYO1A,NBEAL1,NBEL1,NOXA1,NR1H4,NR1I2,PAR12,PARP12,PLS1,PLSI,PRAP1,PRSS3,RARRES1,RBM40,RNPC3,S13A1,S15A1,S35D2,S41A2,S6A19,SI,SIM24,SLC13A1,SLC15A1,SLC35D2,SLC41A2,SLC6A19,SMIM24,SPIB,STEA1,STEAP1,SUIS,TIG1,TM45B,TMEM45B,TONSL,TRY3,ZN264,ZNF264
Enterocyte progenitor cell	AAAD,AADAC,ABCC2,ABRACL,ABRAL,ACP5,ADH1C,ADH1G,AEGP,AFP,AGT,ALDOB,ALPI,ANGT,ANXA4,AOC1,APOA1,APOA4,APOB,APOC3,AQP1,ASAH1,AT1B3,AT2A1,ATP1B3,ATP2A1,BOP1,C11orf86,C17orf78,C8G,CA3,CAH3,CAMKV,CASC2,CCL25,CD24,CDK5,CELP,CFAB,CFAI,CFB,CFI,CHC10,CHCHD10,CHST13,CHSTD,CK086,CNKR1,CNKSR1,CO8G,COMD1,COMMD1,CP2J2,CQ078,CSC2A,CTSA,CXB1,CYP2J2,DAB1,DDC,DJC14,DMBT1,DNAJC14,DOK7,DPEP1,DPP4,DRG2,DUS3L,EKI2,EMB,ENPP4,ENPP7,ETNK2,F110C,F16P1,FAAA,FABP2,FABPI,FAH,FAM110C,FBP1,FBX2,FBXO2,FETA,FUK,G0S2,GCHFR,GCNT1,GFRP,GILT,GJB1,GLRX,GLRX1,GOLT1A,GOT1A,GSTA1,GSTA2,GTR1,HDDC3,HGFL,HHLA2,I22R1,IFI30,IL22RA1,IL32,KAIN,KCC1B,KEL,KELL,KI26B,KIAA1161,KIF26B,M4A8,MAMDC4,MATN1-AS1,MEP1A,MESH1,MET7B,METTL7B,MFSD2A,MGST1,MRP2,MS4A8,MST1,MUC13,MYO1A,NAGS,NLS1,NPL,NPT2C,NR0B2,NR5A2,OCAD2,OCIAD2,OSGI1,OSGIN1,OSTB,PCYOX1L,PCYXL,PEX14,PIGH,PLAGL2,PLAL2,PLEK2,PNCK,PNP,PNPH,POF1B,PON2,PP7080,PPA5,PPBI,PPGB,PR15L,PRR15,PRR15L,PRSS3,RAB25,RARRES1,RBP2,RBP4,RET2,RET4,RGN,RN128,RN186,RNAS6,RNASE6,RNF128,RNF186,S100A9,S100G,S10A9,S35A4,S35C2,S46A3,S6A19,SC11C,SC5A9,SCARNA2,SEC11C,SERPINA4,SIM24,SLC2A1,SLC34A3,SLC35A4,SLC35C2,SLC46A3,SLC51B,SLC5A9,SLC6A19,SLC7A7,SMIM1,SMIM24,ST1B1,ST20,STAR5,STARD13-AS,STARD5,SULT1B1,T4S20,TATD1,TATDN1,TGM2,TIG1,TM144,TM4SF20,TM86B,TMEM144,TMEM86B,TREA,TREH,TRY3,TSN13,TSN8,TSPAN13,TSPAN8,TTHY,TTR,UD3A1,UGT3A1,VP26B,VPS26B,VTN,VTNC,XPNPEP2,XPP2,YLAT1,ZDH12,ZDHHC12,ZN586,ZNF586
